Method,LeadTimeMin,Aggregation,Metric,Threshold,Pool,Value
Baseline,10,global_count,CSI,181,16,0.363343
Baseline,15,global_count,CSI,181,16,0.286354
Baseline,20,global_count,CSI,181,16,0.219579
Baseline,25,global_count,CSI,181,16,0.178324
Baseline,30,global_count,CSI,181,16,0.142407
Baseline,35,global_count,CSI,181,16,0.110602
Baseline,40,global_count,CSI,181,16,0.091972
Baseline,45,global_count,CSI,181,16,0.082764
Baseline,50,global_count,CSI,181,16,0.079101
Baseline,55,global_count,CSI,181,16,0.085158
Baseline,60,global_count,CSI,181,16,0.078258
Baseline,5,batch_avg,CSI,219,1,0.042016
Baseline,10,batch_avg,CSI,219,1,0.030960
Baseline,15,batch_avg,CSI,219,1,0.027375
Baseline,20,batch_avg,CSI,219,1,0.024501
Baseline,25,batch_avg,CSI,219,1,0.022572
Baseline,30,batch_avg,CSI,219,1,0.018782
Baseline,35,batch_avg,CSI,219,1,0.000005
Baseline,40,batch_avg,CSI,219,1,0.000000
Baseline,45,batch_avg,CSI,219,1,0.000000
Baseline,50,batch_avg,CSI,219,1,0.000000
Baseline,55,batch_avg,CSI,219,1,0.000000
Baseline,60,batch_avg,CSI,219,1,0.000000
Baseline,5,global_count,CSI,219,1,0.620910
Baseline,10,global_count,CSI,219,1,0.604115
Baseline,15,global_count,CSI,219,1,0.605409
Baseline,20,global_count,CSI,219,1,0.543397
Baseline,25,global_count,CSI,219,1,0.420914
Baseline,30,global_count,CSI,219,1,0.352799
Baseline,35,global_count,CSI,219,1,0.000178
Baseline,40,global_count,CSI,219,1,0.000000
Baseline,45,global_count,CSI,219,1,0.000000
Baseline,50,global_count,CSI,219,1,0.000000
Baseline,55,global_count,CSI,219,1,0.000000
Baseline,60,global_count,CSI,219,1,0.000000
Baseline,5,batch_avg,CSI,219,4,0.047322
Baseline,10,batch_avg,CSI,219,4,0.031974
Baseline,15,batch_avg,CSI,219,4,0.027409
Baseline,20,batch_avg,CSI,219,4,0.024232
Baseline,25,batch_avg,CSI,219,4,0.022379
Baseline,30,batch_avg,CSI,219,4,0.018435
Baseline,35,batch_avg,CSI,219,4,0.000013
Baseline,40,batch_avg,CSI,219,4,0.000000
Baseline,45,batch_avg,CSI,219,4,0.000000
Baseline,50,batch_avg,CSI,219,4,0.000000
Baseline,55,batch_avg,CSI,219,4,0.000000
Baseline,60,batch_avg,CSI,219,4,0.000000
Baseline,5,global_count,CSI,219,4,0.578849
Baseline,10,global_count,CSI,219,4,0.554838
Baseline,15,global_count,CSI,219,4,0.549817
Baseline,20,global_count,CSI,219,4,0.494563
Baseline,25,global_count,CSI,219,4,0.381172
Baseline,30,global_count,CSI,219,4,0.316023
Baseline,35,global_count,CSI,219,4,0.000339
